levelName	taxon	n	group
living                                                                    	living	128	""
 ¦--Bacteria                                                              			""
 ¦   ¦--Cyanobacteria                                                     			""
 ¦   ¦   °--Cyanophyceae                                                  			""
 ¦   ¦       °--Trichodesmium                                             	Trichodesmium	98961	""
 ¦   ¦           ¦--like                                                  	like<Trichodesmium	1450	""
 ¦   ¦           ¦--puff                                                  	puff	43341	""
 ¦   ¦           °--tuff                                                  	tuff	48113	""
 ¦   °--Proteobacteria                                                    			""
 ¦       °--Cyanobacteria                                                 			""
 ¦           °--Nostocales                                                			""
 ¦               °--Nostocaceae                                           			""
 ¦                   ¦--Aphanizomenon                                     	Aphanizomenon	689	""
 ¦                   ¦--Dolichospermum                                    	Dolichospermum	179	""
 ¦                   °--Nodularia                                         	Nodularia	501	""
 ¦--duplicate                                                             	duplicate	25151	""
 ¦--Eukaryota                                                             			""
 ¦   ¦--Harosa                                                            	Harosa	1	""
 ¦   ¦   ¦--Alveolata                                                     			""
 ¦   ¦   ¦   °--Myzozoa                                                   			""
 ¦   ¦   ¦       °--Holodinophyta                                         			""
 ¦   ¦   ¦           °--Dinophyceae                                       	Dinophyceae	174	""
 ¦   ¦   ¦               °--Gonyaulacales                                 			""
 ¦   ¦   ¦                   °--Pyrocystaceae                             			""
 ¦   ¦   ¦                       °--Pyrocystis                            			""
 ¦   ¦   ¦                           °--Pyrocystis lunula                 	Pyrocystis lunula	1	""
 ¦   ¦   ¦--Rhizaria                                                      	Rhizaria	6157	""
 ¦   ¦   ¦   ¦--Cercozoa                                                  			""
 ¦   ¦   ¦   ¦   °--Thecofilosea                                          			""
 ¦   ¦   ¦   ¦       °--Phaeodaria                                        	Phaeodaria	1623	""
 ¦   ¦   ¦   ¦           ¦--Castanellidae                                 	Castanellidae	3236	""
 ¦   ¦   ¦   ¦           ¦--leg                                           	leg<Phaeodaria	1357	""
 ¦   ¦   ¦   ¦           ¦--like                                          	like<Phaeodaria	346	""
