nb;gbp;gbp_code
1;Tropical Province;TROP
2;Subtropical Province;STRP
3;Subtropical Gyres Province;STGP
4;North Atlantic subtropical Gyres Province;NAGP
5;Mediterranean and salty water Province;MEDP
6;Tropical Anoxic Water Province;TAWP
7;Subpolar and Nutrient Depleted Province;SNDP
8;Southern Ocean Temperate Province;SOTP
9;Cold and Anoxic Temperate Province;CATP
10;Subpolar Province;SUPP
11;Cold and Oxic Polar Province;COPP
12;Southern Subtropical Frontal Province;STFP
13;Subpolar Oxic Northern Province;SUNP
